Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,Newborn affected by premature rupture of membranes,P01.1,< 1 year,1,Male,M,35,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by other forms of placental separation and haemorrhage,P02.1,< 1 year,1,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by other forms of placental separation and haemorrhage,P02.1,< 1 year,1,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by chorioamnionitis,P02.7,< 1 year,1,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by chorioamnionitis,P02.7,< 1 year,1,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Extremely low birth weight,P07.0,< 1 year,1,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Extremely low birth weight,P07.0,< 1 year,1,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,< 1 year,1,Female,F,139,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,< 1 year,1,Male,M,194,Not Applicable,Not Applicable
,Black or African American,2054-5,Other preterm infants,P07.3,< 1 year,1,Female,F,44,Not Applicable,Not Applicable
,Black or African American,2054-5,Other preterm infants,P07.3,< 1 year,1,Male,M,58,Not Applicable,Not Applicable
,Black or African American,2054-5,"Birth asphyxia, unspecified",P21.9,< 1 year,1,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Birth asphyxia, unspecified",P21.9,< 1 year,1,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Respiratory distress syndrome of newborn,P22.0,< 1 year,1,Female,F,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Respiratory distress syndrome of newborn,P22.0,< 1 year,1,Male,M,52,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified pulmonary haemorrhage originating in the perinatal period,P26.9,< 1 year,1,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Bronchopulmonary dysplasia originating in the perinatal period,P27.1,< 1 year,1,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Primary atelectasis of newborn,P28.0,< 1 year,1,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Primary atelectasis of newborn,P28.0,< 1 year,1,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Neonatal cardiac failure,P29.0,< 1 year,1,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Neonatal cardiac dysrhythmia,P29.1,< 1 year,1,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Neonatal cardiac dysrhythmia,P29.1,< 1 year,1,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial sepsis of newborn, unspecified",P36.9,< 1 year,1,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial sepsis of newborn, unspecified",P36.9,< 1 year,1,Male,M,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Necrotizing enterocolitis of newborn,P77,< 1 year,1,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Necrotizing enterocolitis of newborn,P77,< 1 year,1,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Congenital malformation of heart, unspecified",Q24.9,< 1 year,1,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypoplasia and dysplasia of lung,Q33.6,< 1 year,1,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Edwards syndrome, unspecified",Q91.3,< 1 year,1,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Sudden infant death syndrome - SIDS,R95,< 1 year,1,Female,F,43,Not Applicable,Not Applicable
,Black or African American,2054-5,Sudden infant death syndrome - SIDS,R95,< 1 year,1,Male,M,60,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,< 1 year,1,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,< 1 year,1,Male,M,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,15-24 years,15-24,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,25-34 years,25-34,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,45-54 years,45-54,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,65-74 years,65-74,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,35-44 years,35-44,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,75-84 years,75-84,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,75-84 years,75-84,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,25-34 years,25-34,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35-44 years,35-44,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35-44 years,35-44,Male,M,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,45-54 years,45-54,Male,M,31,Not Applicable,Not Applicable
,Black or African American,2054-5,Exposure to unspecified factor,X59,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Exposure to unspecified factor,X59,75-84 years,75-84,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,15-24 years,15-24,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by handgun discharge,X93,15-24 years,15-24,Male,M,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by handgun discharge,X93,25-34 years,25-34,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,Male,M,253,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,Female,F,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,Male,M,151,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,Male,M,54,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,45-54 years,45-54,Male,M,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by sharp object,X99,15-24 years,15-24,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by sharp object,X99,25-34 years,25-34,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by sharp object,X99,35-44 years,35-44,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by unspecified means,Y09,15-24 years,15-24,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by unspecified means,Y09,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,65-74 years,65-74,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,65-74 years,65-74,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,75-84 years,75-84,Female,F,38,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,75-84 years,75-84,Male,M,25,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,Female,F,46,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,65-74 years,65-74,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,75-84 years,75-84,Male,M,21,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,85+ years,85+,Female,F,13,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,85+ years,85+,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,75-84 years,75-84,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,85+ years,85+,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,85+ years,85+,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,75-84 years,75-84,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,75-84 years,75-84,Male,M,20,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,85+ years,85+,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,85+ years,85+,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,< 1 year,1,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,< 1 year,1,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,1-4 years,4-Jan,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,25-34 years,25-34,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,25-34 years,25-34,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Female,F,34,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Male,M,47,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,98,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,106,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,181,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,188,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,395,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,443,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,727,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,686,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,719,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,372,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,35-44 years,35-44,Male,M,35,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,45-54 years,45-54,Female,F,20,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,45-54 years,45-54,Male,M,60,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,65-74 years,65-74,Female,F,19,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,White,2106-3,Acute hepatitis C,B17.1,75-84 years,75-84,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other bacterial infections,B20.1,35-44 years,35-44,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other bacterial infections,B20.1,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other viral infections,B20.3,35-44 years,35-44,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in multiple infections,B20.7,35-44 years,35-44,Male,M,25,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other infectious and parasitic diseases,B20.8,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other infectious and parasitic diseases,B20.8,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in multiple diseases classified elsewhere,B22.7,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other specified conditions,B23.8,35-44 years,35-44,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Unspecified human immunodeficiency virus [HIV] disease,B24,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Unspecified human immunodeficiency virus [HIV] disease,B24,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,"Viral infection, unspecified",B34.9,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,65-74 years,65-74,Male,M,25,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,Sequelae of viral hepatitis,B94.2,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,65-74 years,65-74,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,75-84 years,75-84,Female,F,17,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,65-74 years,65-74,Male,M,22,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Mouth, unspecified - Malignant neoplasms",C06.9,75-84 years,75-84,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,65-74 years,65-74,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Male,M,117,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Female,F,29,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Male,M,188,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Female,F,56,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Male,M,272,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Female,F,66,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Male,M,193,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,Female,F,20,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,Male,M,34,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,55-64 years,55-64,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,75-84 years,75-84,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,Male,M,49,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Female,F,35,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Male,M,57,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Female,F,70,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Male,M,125,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Female,F,77,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Male,M,133,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Female,F,42,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,Male,M,34,Not Applicable,Not Applicable
,White,2106-3,Caecum - Malignant neoplasms,C18.0,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,Caecum - Malignant neoplasms,C18.0,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Ascending colon - Malignant neoplasms,C18.2,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Sigmoid colon - Malignant neoplasms,C18.7,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Sigmoid colon - Malignant neoplasms,C18.7,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,Male,M,34,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Female,F,88,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Male,M,110,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Female,F,181,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Male,M,256,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Female,F,375,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,500,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Female,F,505,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Male,M,561,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Female,F,356,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Male,M,258,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,Male,M,18,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,65-74 years,65-74,Male,M,19,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,75-84 years,75-84,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,45-54 years,45-54,Male,M,26,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,55-64 years,55-64,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,55-64 years,55-64,Male,M,46,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,65-74 years,65-74,Female,F,42,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,65-74 years,65-74,Male,M,58,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,75-84 years,75-84,Female,F,56,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,75-84 years,75-84,Male,M,64,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,85+ years,85+,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectum,C20,85+ years,85+,Male,M,21,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,35-44 years,35-44,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,45-54 years,45-54,Male,M,33,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,Male,M,31,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,65-74 years,65-74,Female,F,25,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,65-74 years,65-74,Male,M,67,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,75-84 years,75-84,Male,M,51,Not Applicable,Not Applicable
